,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD,BTC-USD,ETH-USD
Datetime,,,,,,,,,,,,
2023-05-06 16:15:00+00:00,28693.818359375,1883.755126953125,28693.818359375,1883.755126953125,28707.34765625,1883.9256591796875,28675.939453125,1882.0740966796875,28707.34765625,1883.9256591796875,0,0
2023-05-06 16:20:00+00:00,28705.9375,1882.9998779296875,28705.9375,1882.9998779296875,28705.9375,1883.5548095703125,28691.541015625,1882.9998779296875,28691.5625,1883.5548095703125,0,0
2023-05-06 16:25:00+00:00,28740.31640625,1886.0792236328125,28740.31640625,1886.0792236328125,28740.31640625,1886.0792236328125,28711.763671875,1883.0885009765625,28711.763671875,1883.0885009765625,0,0
2023-05-06 16:30:00+00:00,28718.005859375,1884.3502197265625,28718.005859375,1884.3502197265625,28744.052734375,1886.8345947265625,28712.677734375,1884.3502197265625,28744.052734375,1886.8345947265625,0,0
2023-05-06 16:35:00+00:00,28707.09765625,1882.8302001953125,28707.09765625,1882.8302001953125,28721.9765625,1884.1322021484375,28707.09765625,1882.8302001953125,28721.9765625,1884.1322021484375,0,0
2023-05-06 16:40:00+00:00,28704.9921875,1881.91162109375,28704.9921875,1881.91162109375,28712.9609375,1882.91552734375,28702.345703125,1881.7615966796875,28712.9609375,1882.91552734375,0,0
2023-05-06 16:45:00+00:00,28729.033203125,1882.4964599609375,28729.033203125,1882.4964599609375,28729.033203125,1882.70361328125,28709.45703125,1882.150634765625,28711.94140625,1882.3690185546875,0,0
2023-05-06 16:50:00+00:00,28739.130859375,1883.62451171875,28739.130859375,1883.62451171875,28739.130859375,1883.62451171875,28724.970703125,1882.6871337890625,28734.658203125,1882.6871337890625,0,0
2023-05-06 16:55:00+00:00,28751.060546875,1885.32568359375,28751.060546875,1885.32568359375,28763.619140625,1886.1644287109375,28746.48046875,1884.4522705078125,28746.48046875,1884.4522705078125,7797760,0
2023-05-06 17:00:00+00:00,28737.759765625,1885.07080078125,28737.759765625,1885.07080078125,28753.2734375,1885.3594970703125,28735.83203125,1884.731689453125,28753.2734375,1885.3594970703125,0,0
2023-05-06 17:05:00+00:00,28741.431640625,1884.249755859375,28741.431640625,1884.249755859375,28741.431640625,1884.7308349609375,28731.1015625,1883.40087890625,28735.65625,1884.7308349609375,0,0
2023-05-06 17:10:00+00:00,28736.8828125,1884.091552734375,28736.8828125,1884.091552734375,28751.3984375,1884.8175048828125,28736.8828125,1884.091552734375,28748.091796875,1884.3929443359375,0,0
2023-05-06 17:15:00+00:00,28750.4921875,1885.5592041015625,28750.4921875,1885.5592041015625,28750.4921875,1885.5592041015625,28733.33984375,1884.10791015625,28734.064453125,1884.10791015625,0,0
2023-05-06 17:20:00+00:00,28760.32421875,1885.50732421875,28760.32421875,1885.50732421875,28760.32421875,1885.780029296875,28749.9765625,1885.025390625,28752.212890625,1885.780029296875,0,0
2023-05-06 17:25:00+00:00,28866.208984375,1890.1788330078125,28866.208984375,1890.1788330078125,28871.337890625,1890.3902587890625,28759.6796875,1885.139404296875,28764.142578125,1885.792724609375,35919872,9869312
2023-05-06 17:30:00+00:00,28834.830078125,1888.4888916015625,28834.830078125,1888.4888916015625,28880.80859375,1891.061279296875,28834.830078125,1888.4888916015625,28880.80859375,1891.061279296875,89331712,46490624
