Time,Bid,Ask,Last,Volume,Type
2023.04.24 13:49:23.911,43.90,43.91,43.91,100.00,Buy
2023.04.24 13:49:24.389,43.91,43.92,43.91,100.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.90,600.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,600.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,259.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,101.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,100.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,103.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,254.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,100.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,103.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,269.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,400.00,Sell
2023.04.24 13:49:24.389,43.91,43.92,43.91,100.00,Sell
2023.04.24 13:49:24.394,43.91,43.92,43.91,200.00,Sell
2023.04.24 13:49:24.394,43.91,43.92,43.92,100.00,Buy
2023.04.24 13:49:24.394,43.91,43.92,43.90,100.00,Sell
2023.04.24 13:49:24.394,43.91,43.92,43.91,200.00,Sell
2023.04.24 13:49:28.430,43.91,43.92,43.91,100.00,Sell
2023.04.24 13:49:30.023,43.91,43.92,43.92,100.00,Buy
2023.04.24 13:49:30.078,43.91,43.92,43.92,200.00,Buy
2023.04.24 13:49:30.422,43.91,43.92,43.92,200.00,Buy
2023.04.24 13:49:30.422,43.91,43.92,43.91,100.00,Sell
2023.04.24 13:49:30.422,43.91,43.92,43.91,100.00,Sell
2023.04.24 13:49:30.422,43.91,43.92,43.91,100.00,Sell
2023.04.24 13:49:30.422,43.91,43.92,43.91,200.00,Sell
2023.04.24 13:49:30.422,43.91,43.92,43.91,300.00,Sell
2023.04.24 13:49:30.434,43.92,43.93,43.91,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.93,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.93,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.93,156.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,900.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.92,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.93,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,500.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.92,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.93,200.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.92,100.00,Sell
2023.04.24 13:49:33.934,43.94,43.95,43.92,100.00,Sell
