,Capital Gains,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume
,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY
Date,,,,,,,,,,,,,,,,,,,,,,
2021-04-22,0.0,130.01504516601562,220.47854614257812,397.2537841796875,0.0,0.0,0.0,132.19279363904673,221.50066952188888,401.5995248201067,129.49277887866418,219.51319134960877,396.1553219535815,131.0989875391624,220.35550662193998,400.7419567863781,0.0,0.0,0.0,84566500,1839500,97582800
2021-04-23,0.0,132.36032104492188,222.01174926757812,401.56097412109375,0.0,0.0,0.0,133.14863726987394,222.63639146386151,403.0159844551769,130.2318311507477,220.61104827936632,397.75486351940845,130.2318311507477,221.2640675486533,397.8319367224325,0.0,0.0,0.0,78657500,2137500,73209200
2021-04-26,0.0,132.75448608398438,219.8633575439453,402.3992614746094,0.0,0.0,0.0,133.08952200068663,222.7404893620894,402.98705856720846,131.61140644752723,219.48479440846955,401.6284118580507,132.86288182599617,222.20102173071564,402.23546989895397,0.0,0.0,0.0,66905100,2490100,52182400
2021-04-27,0.0,132.42929077148438,222.3903350830078,402.3125915527344,0.0,0.0,0.0,133.43441349638476,223.0055183176517,402.9100338944554,132.15337708796943,219.95803698536767,401.1370266319791,133.0402403512434,220.109468037704,402.70766158576197,0.0,0.0,0.0,66015800,2623800,51303100
2021-04-28,0.0,131.63111877441406,219.9580078125,402.1968994140625,0.0,0.0,0.0,133.0501121102573,222.83512521900073,403.7482731563831,131.13841359036675,219.81603580429183,401.7151110751846,132.3504641329958,222.5985196465785,402.59196938066555,0.0,0.0,0.0,107760100,2777000,51238900
2021-04-29,0.0,131.53257751464844,222.6079864501953,404.760009765625,0.0,0.0,0.0,135.07021231936199,223.1663721184998,405.39597389044854,130.51760599371434,220.15674181789998,401.27186695864435,134.47896005800425,221.45335013602744,405.01054910735047,0.0,0.0,0.0,151101000,3146700,78544300
2021-04-30,0.0,129.54205322265625,223.43136596679688,402.1005554199219,0.0,0.0,0.0,131.61140596783576,223.6301065517069,403.29541055454496,129.15774378168229,221.3397664452563,401.1755299979782,129.85737672070647,221.46280595865792,402.4185522064209,0.0,0.0,0.0,109839500,2640400,85527000
2021-05-03,0.0,130.60630798339844,222.93922424316406,402.96783447265625,0.0,0.0,0.0,132.11399996166628,225.41884593190758,404.548085152933,129.90667491153516,222.76887516894087,402.4571399386238,130.113602707258,225.23903783398006,404.1530151313562,0.0,0.0,0.0,75135100,2458000,68128300
2021-05-04,0.0,125.9847183227539,221.33030700683594,400.48175048828125,0.0,0.0,0.0,129.571619100698,223.47868954861022,401.4260662572851,124.85149485746057,220.7435298355723,396.6756400990474,129.27599297302677,222.0590561797409,400.9153717734222,0.0,0.0,0.0,137564700,2529700,101591200
2021-05-05,0.0,126.2310791015625,222.4470672607422,400.6070556640625,0.0,0.0,0.0,128.54678453540077,222.74047027303763,402.41858475783897,126.10297093712859,219.15352205233768,400.02890370132076,127.31502152713482,221.576360570762,402.1776905571991,0.0,0.0,0.0,84000900,2070000,60162200
2021-05-06,0.0,127.84715270996094,222.27671813964844,403.80615234375,0.0,0.0,0.0,127.8570014010941,223.02438532238548,403.94103780986205,125.27522340617611,220.677262313422,398.61245907479196,126.0241374269611,222.92027830288978,400.6841433941859,0.0,0.0,0.0,78128300,1832600,74321400
2021-05-07,0.0,128.52825927734375,222.25782775878906,406.7450256347656,0.22,0.0,0.0,129.56468579093183,223.090684072539,407.41954114312136,127.80767686056933,221.45337740233455,403.89284659989147,129.15999265610654,222.4092588051544,404.59626823540356,0.0,0.0,0.0,78973300,1406800,67733800
2021-05-10,0.0,125.21163940429688,224.4061737060547,402.71728515625,0.0,0.0,0.0,127.86689099635548,225.17277339551262,407.3424419765487,125.17215512939661,222.50387023809395,402.5920154688368,127.73858028192656,222.50387023809395,407.1111929573427,0.0,0.0,0.0,88071200,2031500,81852400
2021-05-11,0.0,124.28377532958984,221.33030700683594,399.1231384277344,0.0,0.0,0.0,124.6391187134687,225.05921296633383,400.1445274841052,121.18432401088965,219.75924261271877,395.1243005855998,121.90489879100369,225.00242994218027,398.0535822937354,0.0,0.0,0.0,126142800,3028500,116888000
