Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
BEN,Common Stock,Franklin Resources Inc,"Franklin Resources Inc. is an American multinational holding company that, together with its subsidiaries, is referred to as Franklin Templeton; it is a global investment firm founded in New York City in 1947 as Franklin Distributors, Inc.",38777.0,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"ONE FRANKLIN PARKWAY, BUILDING 920, SAN MATEO, CA, US",September,2024-06-30,11929585000.0,1807100000,14.17,2.862,24.65,1.23,0.0544,1.61,16.42,0.102,0.133,0.0267,0.0758,8252900000.0,3140100000.0,1.61,-0.273,0.078,23.32,0,0,7,5,0,14.17,9.96,1.699,1.115,2.699,10.23,1.448,29.25,21.11,22.96,25.28,522998000.0,2024-07-12,2024-06-28
FCX,Common Stock,Freeport-McMoran Copper & Gold Inc,"Freeport-McMoRan Inc., often called Freeport, is an American mining company based in the Freeport-McMoRan Center, in Phoenix, Arizona.",831259.0,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"333 NORTH CENTRAL AVENUE, PHOENIX, AZ, US",December,2024-03-31,62990082000.0,9284000000,32.72,0.2,12.09,0.6,0.0135,1.34,17.19,0.0783,0.309,0.0811,0.161,24674001000.0,9710000000.0,1.34,0.766,0.155,55.23,6,8,9,0,0,32.72,32.89,3.105,4.251,3.328,8.86,1.924,55.07,32.51,49.53,43.41,1436490000.0,2024-08-01,2024-07-15
GRMN,Common Stock,Garmin Ltd,"Garmin Ltd. is an American multinational technology company with headquarters in Olathe, Kansas.",1121788.0,NYSE,USD,USA,MANUFACTURING,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS","MUHLENTALSTRASSE 2, SCHAFFHAUSEN, CH",December,2024-03-31,34447266000.0,1372570000,25.33,5.62,37.73,2.92,0.0167,7.08,28.52,0.25,0.216,0.0912,0.2,5462477000.0,2806775000.0,7.08,0.362,0.204,143.08,0,0,8,1,0,25.33,27.55,5.25,3.914,4.895,20.15,0.996,179.76,98.09,165.6,139.86,192078000.0,2025-03-28,2024-09-12
IT,Common Stock,Gartner Inc,"Gartner, Inc, officially known as Gartner, is a global research and advisory firm providing information, advice, and tools for leaders in IT, finance, HR, customer service and support, communications, legal and compliance, marketing, sales, and supply chain functions. Its headquarters are in Stamford, Connecticut, United States.",749251.0,NYSE,USD,USA,TRADE & SERVICES,SERVICES-MANAGEMENT SERVICES,"56 TOP GALLANT RD, P O BOX 10212, STAMFORD, CT, US",December,2024-03-31,38719762000.0,1272970000,49.48,1.99,9.18,None,None,10.08,75.85,0.134,0.187,0.0934,1.339,5971013000.0,3782075000.0,10.08,-0.274,0.045,481.07,3,2,6,1,0,49.48,38.02,6.14,53.32,6.44,25.86,1.334,506.15,323.61,447.63,440.47,77630000.0,None,1999-07-19
GE,Common Stock,GE Aerospace,"General Electric Company (GE) is an American multinational conglomerate incorporated in New York City and headquartered in Boston. As of 2018, the company operates through the following segments: aviation, healthcare, power, renewable energy, digital industry, additive manufacturing and venture capital and finance.",40545.0,NYSE,USD,USA,MANUFACTURING,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),"41 FARNSWORTH STREET, BOSTON, MA, US",December,2024-06-30,181600240000.0,8550000000,45.26,2.031,17.15,0.72,0.0067,3.7,63.74,0.0684,0.208,0.0283,0.161,69410996000.0,18536000000.0,3.7,-0.792,0.039,194.93,5,12,1,0,0,45.26,37.59,2.488,6.17,2.492,12.65,1.218,177.2,83.88,162.39,129.02,1084310000.0,2024-07-25,2024-07-11
GEHC,Common Stock,GE HealthCare Technologies Inc.,"GE HealthCare Technologies Inc. provides medical technology, pharmaceutical diagnostics, and digital solutions in the United States. The company is headquartered in Chicago, Illinois.",1932393.0,NASDAQ,USD,USA,LIFE SCIENCES,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,"500 W. MONROE STREET, CHICAGO, IL, UNITED STATES",December,2024-03-31,37165380000.0,3519000000,23.67,20.11,16.23,0.12,0.0015,3.44,42.8,0.0805,0.139,0.0563,0.224,19495000000.0,7179000000.0,3.44,0.976,-0.012,92.17,3,7,7,0,0,23.67,20.12,2.014,5.52,2.39,13.3,None,94.43,62.28,78.85,78.71,456465000.0,2024-08-15,2024-07-19
GEV,Common Stock,GE Vernova LLC,"GE Vernova LLC, an energy business company, generates electricity. ",1996810.0,NYSE,USD,USA,MANUFACTURING,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),"58 CHARLES STREET, CAMBRIDGE, MA, UNITED STATES",December,2024-03-31,46010819000.0,755000000,None,None,None,None,None,None,122.87,-0.0075,-0.0017,0.0,0.0,33677001000.0,0.0,0.0,0.0,0.064,168.86,1,7,5,0,0,-,51.55,1.366,5.06,1.321,33.74,None,185.5,115.0,146.44,146.44,274086000.0,None,None
GEN,Common Stock,Gen Digital Inc.,"Gen Digital Inc. provides cybersecurity solutions for consumers in the United States, Canada, Latin America, Europe, the Middle East, Africa, Asia Pacific, and Japan. The company is headquartered in Tempe, Arizona.",849399.0,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"60 E RIO SALADO PARKWAY, SUITE 1000, TEMPE, AZ, US",March,2024-03-31,15853859000.0,1777000000,26.84,5.08,3.526,0.5,0.0194,0.96,5.98,0.162,0.436,0.0599,0.28,3812000000.0,2388000000.0,0.96,-0.853,0.021,26.56,2,2,5,0,0,26.84,9.14,3.515,5.51,5.84,13.98,1.041,26.33,16.1,24.86,22.16,615206000.0,2024-06-12,2024-05-17
GNRC,Common Stock,Generac Holdings Inc,"Generac Holdings Inc., commonly referred to as Generac, is a Fortune 1000 American manufacturer of backup power generation products for residential, light commercial and industrial markets.",1474735.0,NYSE,USD,USA,MANUFACTURING,MOTORS & GENERATORS,"S45 W29290 HIGHWAY 59, WAUKESHA, WI, US",December,2024-03-31,9429783000.0,577598000,43.09,1.303,39.19,None,None,3.61,66.14,0.0568,0.0752,0.0495,0.0971,4024030000.0,1522004000.0,3.61,6.8,0.002,146.14,5,10,9,1,2,43.09,20.96,1.974,3.393,2.355,17.08,1.368,161.8,79.86,145.41,125.49,60614000.0,2013-06-21,2013-06-10
GD,Common Stock,General Dynamics Corporation,"General Dynamics Corporation (GD) is an American aerospace and defense corporation. It is headquartered in Reston, Fairfax County, Virginia.",40533.0,NYSE,USD,USA,MANUFACTURING,SHIP & BOAT BUILDING & REPAIRING,"11011 SUNSET HILLS RD, RESTON, VA, US",December,2024-06-30,80512696000.0,5131000000,22.86,1.752,80.33,5.48,0.0196,12.82,164.48,0.0789,0.0974,0.0495,0.171,44946002000.0,6622000000.0,12.82,0.207,0.18,317.93,7,12,5,1,0,22.86,19.8,1.868,3.708,2.085,16.8,0.599,301.24,210.09,292.62,271.79,274778000.0,2024-08-09,2024-07-05
GIS,Common Stock,General Mills Inc,"General Mills, Inc., is an American multinational manufacturer and marketer of branded consumer foods sold through retail stores. It is headquartered in Golden Valley, Minnesota, a suburb of Minneapolis.",40704.0,NYSE,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"NUMBER ONE GENERAL MILLS BLVD, MINNEAPOLIS, MN, US",May,2024-05-31,37981835000.0,4321400000,15.79,1.984,16.81,2.36,0.0358,4.31,34.5,0.126,0.193,0.0749,0.248,19857199000.0,6545800000.0,4.31,-0.05,-0.063,67.95,2,1,17,1,0,15.79,14.01,1.853,3.96,2.444,10.53,0.085,73.12,58.71,66.07,66.02,558146000.0,2024-08-01,2024-07-10
GM,Common Stock,General Motors Company,"General Motors Company (GM) is an American multinational corporation headquartered in Detroit, Michigan that designs, manufactures, markets, and distributes vehicles and vehicle parts, and sells financial services, with global headquarters in Detroit's Renaissance Center.",1467858.0,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"300 RENAISSANCE CENTER, DETROIT, MI, US",December,2024-06-30,49710981000.0,17977000000,4.97,3.682,62.39,0.42,0.0109,8.9,143.45,0.0622,0.081,0.0265,0.146,178092999000.0,21154000000.0,8.9,0.393,0.072,56.1,9,11,8,1,0,4.97,4.787,0.289,0.774,0.849,6.29,1.441,50.5,26.08,46.41,39.48,1123920000.0,2024-09-19,2024-09-06
GPC,Common Stock,Genuine Parts Co,"Genuine Parts Company (GPC) is an American service organization engaged in the distribution of automotive replacement parts, industrial replacement parts, office products and electrical/electronic materials.",40987.0,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS,"2999 WILDWOOD PARKWAY, ATLANTA, GA, US",December,2024-06-30,20492284000.0,2132558000,17.04,3.024,32.59,3.9,0.0272,8.63,165.74,0.0524,0.0743,0.0618,0.281,23156685000.0,7740104000.0,8.63,-0.135,0.008,155.48,2,3,9,0,0,17.04,14.86,0.878,4.606,1.042,11.15,0.929,163.31,123.76,140.8,143.35,139318000.0,2024-07-01,2024-06-07
GILD,Common Stock,Gilead Sciences Inc,"Gilead Sciences, Inc. is an American biopharmaceutical company headquartered in Foster City, California, that focuses on researching and developing antiviral drugs used in the treatment of HIV, hepatitis B, hepatitis C, and influenza, including Harvoni and Sovaldi.",882095.0,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","333 LAKESIDE DR, FOSTER CITY, CA, US",December,2024-03-31,97238598000.0,12665000000,216.81,0.421,14.08,3.02,0.0395,0.36,22.0,0.0177,0.344,0.105,0.0239,27449999000.0,21624000000.0,0.36,-0.131,0.053,81.02,4,9,19,0,0,216.81,9.64,3.13,3.717,3.784,9.78,0.2,85.93,61.32,68.35,73.5,1245850000.0,2024-06-27,2024-06-14
GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360.0,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",December,2024-03-31,25989554000.0,4171792000,20.24,0.651,87.08,1,0.0098,5.03,37.69,0.134,0.22,0.0291,0.0591,9782159000.0,5228998000.0,5.03,0.494,0.056,143.5,15,14,6,2,0,20.24,10.65,3.269,1.372,4.853,12.99,0.98,141.13,91.6,98.78,117.32,255250000.0,2024-06-28,2024-06-14
GL,Common Stock,Globe Life Inc,"Globe Life is a financial services holding company that operates through its wholly owned subsidiaries providing life insurance, annuity, and supplemental health insurance products. The company is based in McKinney, Texas.",320335.0,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"3700 SOUTH STONEBRIDGE DRIVE, MCKINNEY, TX, US",December,2024-03-31,8715795000.0,1426328000,8.54,None,53.56,0.45,0.0102,11.06,60.47,0.185,0.246,0.0303,0.225,5656194000.0,1350660000.0,11.06,0.263,0.086,103.13,1,4,4,1,0,8.54,10.44,1.02,1.238,1.389,-,0.803,131.33,38.84,84.16,105.11,92270000.0,2024-08-01,2024-07-05
GDDY,Common Stock,Godaddy Inc,"GoDaddy Inc. is dedicated to the design and development of cloud-based technology products in the United States and internationally. The company is headquartered in Scottsdale, Arizona.",1609711.0,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,"14455 N. HAYDEN ROAD, SCOTTSDALE, AZ, US",December,2024-03-31,20333558000.0,895400000,12.5,1.101,2.912,None,None,11.54,29.76,0.4,0.169,0.061,0.583,4326600000.0,2606800000.0,11.54,8.2,0.07,152.62,5,7,5,0,0,12.5,26.67,4.13,282.44,4.938,27.85,1.14,148.71,69.18,141.02,115.5,140941000.0,None,None
GS,Common Stock,Goldman Sachs Group Inc,"The Goldman Sachs Group, Inc., is an American multinational investment bank and financial services company headquartered in New York City. It offers services in investment management, securities, asset management, prime brokerage, and securities underwriting. It also provides investment banking to institutional investors.",886982.0,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","200 WEST STREET, NEW YORK, NY, US",December,2024-03-31,163059876000.0,None,16.21,3.144,322.16,11,0.0244,31.19,146.0,0.23,0.315,0.007,0.0952,48895001000.0,37530000000.0,31.19,1.799,0.211,513.01,4,13,8,0,0,16.21,11.31,2.795,1.196,-,-,1.364,509.48,283.27,467.63,400.04,322463000.0,2024-09-27,2024-08-30
HAL,Common Stock,Halliburton Company,"Halliburton Company is an American multinational corporation. One of the world's largest oil field service companies, it has operations in more than 70 countries.",45012.0,NYSE,USD,USA,ENERGY & TRANSPORTATION,"OIL & GAS FIELD SERVICES, NEC","3000 NORTH SAM HOUSTON PARKWAY EAST, 3000 NORTH SAM HOUSTON PARKWAY EAST, HOUSTON, TX, US",December,2024-06-30,30281034000.0,5160000000,11.4,3.91,11.31,0.66,0.0198,3.01,26.02,0.116,0.177,0.104,0.289,23179999000.0,3243000000.0,3.01,0.182,0.006,44.43,9,16,3,0,0,11.4,11.65,1.528,3.744,1.812,8.44,1.942,43.23,32.52,34.53,36.65,882829000.0,2024-06-26,2024-06-05
HIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAS,Common Stock,Hasbro Inc,"Hasbro, Inc. is an American multinational conglomerate with toy, board game, and media assets, headquartered in Pawtucket, Rhode Island.",46080.0,NASDAQ,USD,USA,MANUFACTURING,"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)","1027 NEWPORT AVE, P O BOX 1059, PAWTUCKET, RI, US",December,2024-03-31,8973863000.0,774500000,None,0.78,8.41,2.8,0.0434,-7.47,32.69,-0.228,0.236,0.0469,-0.567,4544900000.0,2915700000.0,-7.47,-0.492,-0.177,72.84,7,4,4,0,0,-,16.72,1.552,7.31,2.142,-12.42,0.607,70.66,41.61,59.83,54.0,139216000.0,2024-09-04,2024-08-21
HCA,Common Stock,HCA Holdings Inc,"HCA Healthcare is an American for-profit operator of health care facilities that was founded in 1968. It is based in Nashville, Tennessee, and, as of May 2020, owns and operates 186 hospitals and approximately 2,000 sites of care, including surgery centers, freestanding emergency rooms, urgent care centers and physician clinics in 21 states and the United Kingdom.",860730.0,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","ONE PARK PLZ, NASHVILLE, TN, US",December,2024-06-30,93693764000.0,13356000000,17.04,1.442,-6.17,2.52,0.0073,21.31,256.99,0.084,0.156,0.115,0.736,68346999000.0,23177000000.0,21.31,0.289,0.103,383.43,9,10,6,0,0,17.04,15.82,1.314,293.44,1.944,9.93,1.688,366.1,214.61,332.1,298.75,258074000.0,2024-09-30,2024-09-16
DOC,Common Stock,Healthpeak Properties Inc,"Physicians Realty Trust is a self-managed healthcare real estate company organized to acquire, selectively develop, own and manage healthcare properties that are rented to physicians, hospitals and healthcare delivery systems. ",765880.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1920 MAIN STREET, SUITE 1200, IRVINE, CA, US",December,2024-06-30,15255082000.0,1305757000,45.46,3.191,12.51,1.2,0.055,0.48,4.024,0.119,0.159,0.0159,0.0372,2411959000.0,1194700000.0,0.48,1.305,0.275,23.21,3,1,7,0,0,45.46,103.09,6.03,2.069,9.22,15.89,1.097,22.19,14.49,19.95,18.58,699133000.0,2024-08-16,2024-08-05
HSIC,Common Stock,Henry Schein Inc,"Henry Schein, Inc. is an American distributor of health care products and services with a presence in 32 countries.",1000228.0,NASDAQ,USD,USA,TRADE & SERVICES,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES","135 DURYEA RD, MELVILLE, NY, US",December,2024-03-31,9211989000.0,934000000,24.22,1.651,28.02,None,None,2.97,95.81,0.0312,0.0574,0.0444,0.0834,12451000000.0,3831000000.0,2.97,-0.565,0.037,78.0,2,2,9,2,0,24.22,14.04,0.739,2.496,0.948,13.33,0.874,82.63,60.01,68.31,71.28,128051000.0,None,None
HSY,Common Stock,Hershey Co,"The Hershey Company, commonly known as Hershey's, is an American multinational company and one of the largest chocolate manufacturers in the world. It also manufactures baked products, such as cookies and cakes, and sells beverages like milkshakes, and many more that are produced globally. Its headquarters are in Hershey, Pennsylvania.",47111.0,NYSE,USD,USA,MANUFACTURING,SUGAR & CONFECTIONERY PRODUCTS,"19 EAST CHOCOLATE AVENUE, EXTERNAL RPTG & COMPLIANCE, HERSHEY, PA, US",December,2024-03-31,39936180000.0,3236618000,19.57,3.588,20.32,4.79,0.0277,10.09,55.87,0.181,0.33,0.149,0.548,11430127000.0,4498547000.0,10.09,0.365,0.089,204.48,3,2,19,1,0,19.57,19.38,3.398,9.26,3.821,15.5,0.353,226.44,176.36,190.99,191.52,147616000.0,2024-06-14,2024-05-16
HES,Common Stock,Hess Corporation,Hess Corporation (formerly Amerada Hess Corporation) is an American global independent energy company involved in the exploration and production of crude oil and natural gas.,4447.0,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"1185 AVENUE OF THE AMERICAS, NEW YORK, NY, US",December,2024-03-31,47270543000.0,5944000000,23.53,1.127,32.13,1.75,0.0115,6.52,36.53,0.179,0.465,0.1,0.247,11185000000.0,7741000000.0,6.52,1.796,0.377,170.38,1,3,12,0,0,23.53,17.01,4.585,5.25,5.24,10.72,1.174,166.24,130.43,149.02,148.47,308112000.0,2024-06-28,2024-06-14
HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590.0,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",October,2024-04-30,25226652000.0,4893000000,13.88,2.08,16.7,0.5,0.0274,1.37,21.75,0.0638,0.07,0.0248,0.0857,28312001000.0,10239000000.0,1.37,-0.252,0.033,20.75,2,3,11,0,0,13.88,9.44,0.806,1.057,1.128,6.43,1.211,22.82,14.27,20.09,17.38,1299670000.0,2024-07-18,2024-06-18
HLT,Common Stock,Hilton Worldwide Holdings Inc,"Hilton Worldwide Holdings Inc., formerly Hilton Hotels Corporation, is an American multinational hospitality company that manages and franchises a broad portfolio of hotels and resorts.",1585689.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"7930 JONES BRANCH DRIVE, SUITE 1100, MCLEAN, VA, US",December,2024-03-31,53677375000.0,2440000000,46.77,1.07,-11.29,0.6,0.0028,4.59,17.5,0.265,0.5,0.0921,0.0,4524000000.0,2737000000.0,4.59,0.351,0.124,219.96,3,9,13,0,0,46.77,28.82,11.7,-,5.95,26.43,1.314,229.03,145.65,211.91,193.26,250046000.0,2024-06-28,2024-05-16
HOLX,Common Stock,Hologic Inc,"Hologic, Inc. is a medical technology company primarily focused on women's health; it sells medical devices for diagnostics, surgery, and medical imaging.",859737.0,NASDAQ,USD,USA,LIFE SCIENCES,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,"250 CAMPUS DRIVE, MARLBOROUGH, MA, US",September,2024-06-30,18955719000.0,1257100000,27.85,1.448,21.1,None,None,2.93,16.71,0.176,0.261,0.065,0.139,3987600000.0,2481400000.0,2.93,-0.172,0.027,88.07,4,6,8,0,0,27.85,19.12,4.573,3.901,4.737,17.68,0.989,82.65,64.02,75.06,73.61,232272000.0,None,None
HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950.0,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",January,2024-04-30,361884582000.0,24508000000,24.48,1.864,1.835,8.68,0.0247,14.91,152.78,0.0979,0.14,0.17,0.136,151830004000.0,52778000000.0,14.91,-0.05,-0.023,385.02,7,16,13,1,1,24.48,21.93,2.226,318.51,2.496,15.17,0.989,394.13,268.94,344.29,341.7,991614000.0,2024-06-13,2024-05-30
HON,Common Stock,Honeywell International Inc,"Honeywell International Inc. is an American publicly traded, multinational conglomerate headquartered in Charlotte, North Carolina. It primarily operates in four areas of business: aerospace, building technologies, performance materials and technologies (PMT), and safety and productivity solutions (SPS).",773840.0,NASDAQ,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"300 SOUTH TRYON STREET, CHARLOTTE, NC, US",December,2024-06-30,133020131000.0,9048001000,23.35,2.013,26.09,4.27,0.0213,8.77,56.96,0.155,0.223,0.0744,0.327,37334000000.0,11641000000.0,8.77,0.063,0.047,225.68,6,9,10,0,0,23.35,19.72,3.484,8.06,3.851,15.52,1.032,220.79,172.0,209.65,199.72,649671000.0,2024-09-06,2024-08-16
HRL,Common Stock,Hormel Foods Corporation,"Hormel Foods Corporation is an American company founded in 1891 in Austin, Minnesota, by George A. Hormel as George A. Hormel & Company. Originally focusing on the packaging and selling of ham, Spam, sausage and other pork, chicken, beef and lamb products to consumers; by the 1980s, Hormel began offering a wider range of packaged and refrigerated foods.",48465.0,NYSE,USD,USA,MANUFACTURING,MEAT PACKING PLANTS,"1 HORMEL PL, AUSTIN, MN, US",October,2024-04-30,17606074000.0,1302009000,22.94,2.96,14.39,1.115,0.0353,1.4,22.02,0.0637,0.0903,0.0476,0.0983,12045641000.0,1999841000.0,1.4,-0.145,-0.03,32.21,0,0,9,2,0,22.94,21.19,1.531,2.369,1.723,15.52,0.238,40.31,28.02,31.52,32.39,548305000.0,2024-08-15,2024-07-15
HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",December,2024-03-31,12467190000.0,1482000000,16.52,1.357,9.55,0.73,0.0457,1.06,7.64,0.133,0.181,0.0392,0.105,5408000000.0,1530000000.0,1.06,-0.05,0.066,22.33,9,8,4,1,0,16.52,19.88,2.684,2.122,3.333,10.59,1.351,20.87,14.28,17.96,18.67,705044000.0,2024-07-15,2024-06-28
HWM,Common Stock,Howmet Aerospace Inc,"Howmet Aerospace Inc. is an American aerospace company based in Pittsburgh, Pennsylvania. The company manufactures components for jet engines, fasteners and titanium structures for aerospace applications, and forged aluminum wheels for heavy trucks.",4281.0,NYSE,USD,USA,MANUFACTURING,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,"201 ISABELLA STREET, SUITE 200, PITTSBURGH, PA, US",December,2024-06-30,39059669000.0,1678000000,42.53,0.803,10.35,0.19,0.0033,2.25,17.3,0.132,0.223,0.0842,0.232,7093000000.0,1596000000.0,2.25,0.412,0.141,96.8,6,14,1,1,1,42.53,28.99,3.936,6.56,4.43,20.08,1.286,96.93,42.83,81.78,64.96,408147000.0,2024-05-28,2024-08-09
HPQ,Common Stock,HP Inc,"HP Inc. is an American multinational information technology company headquartered in Palo Alto, California, that develops personal computers (PCs), printers and related supplies, as well as 3D printing solutions.",47217.0,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER ST, MS 1050, PALO ALTO, CA, US",October,2024-04-30,35316232000.0,5131000000,12.19,8.51,-0.936,1.071,0.0305,2.96,53.42,0.056,0.0819,0.0726,0.0,52998001000.0,11508000000.0,2.96,-0.425,-0.008,36.26,3,6,7,1,0,12.19,8.21,0.526,-,0.689,8.07,1.106,39.22,24.58,35.74,30.62,978560000.0,2024-10-02,2024-09-11
HUBB,Common Stock,Hubbell Inc,"Hubbell Incorporated designs, manufactures, and sells electrical and electronic products in the United States and internationally. The company is headquartered in Shelton, Connecticut.",48898.0,NYSE,USD,USA,MANUFACTURING,ELECTRONIC COMPONENTS & ACCESSORIES,"40 WATERVIEW DR, SHELTON, CT, US",December,2024-03-31,20389941000.0,1226300000,28.09,2.449,56.84,4.78,0.0128,13.52,103.88,0.131,0.212,0.104,0.259,5573200000.0,1481500000.0,13.52,0.031,0.063,418.66,1,5,7,0,0,28.09,24.51,4.014,7.5,4.375,20.1,0.896,428.27,245.75,378.11,358.45,53686000.0,2024-09-16,2024-08-30
HUM,Common Stock,Humana Inc,"Humana Inc. is a for-profit American health insurance company based in Louisville, Kentucky.",49071.0,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"500 W MAIN ST, LOUISVILLE, KY, US",December,2024-03-31,43574366000.0,4472000000,22.29,1.639,133.86,3.54,0.0088,16.22,889.17,0.0182,0.0427,0.0491,0.121,109242999000.0,17180000000.0,16.22,-0.381,0.107,377.39,5,7,13,0,0,22.29,19.38,0.354,2.317,0.423,-,0.515,526.87,297.88,367.59,397.06,120501000.0,2024-07-26,2024-06-28
HBAN,Common Stock,Huntington Bancshares Incorporated,"Huntington Bancshares Incorporated is a bank holding company headquartered in Columbus, Ohio.",49196.0,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"HUNTINGTON CTR, 41 S HIGH ST HC0917, COLUMBUS, OH, US",December,2024-06-30,21713828000.0,None,14.1,2.794,11.79,0.62,0.0415,1.06,4.631,0.251,0.366,0.0089,0.0888,6710000000.0,6956000000.0,1.06,-0.143,-0.024,16.1,6,7,8,1,0,14.1,10.25,2.79,1.143,-,-,1.08,15.24,8.92,13.56,12.73,1452430000.0,2024-10-01,2024-09-17
HII,Common Stock,Huntington Ingalls Industries Inc,Huntington Ingalls Industries (HII) is the largest military shipbuilding company in the United States as well as a provider of professional services to partners in government and industry.,1501585.0,NYSE,USD,USA,MANUFACTURING,SHIP & BOAT BUILDING & REPAIRING,"4101 WASHINGTON AVENUE, 909-7, 7J2, NEWPORT NEWS, VA, US",December,2024-03-31,11040536000.0,1132000000,15.8,3.748,104.43,5.08,0.0186,17.72,291.08,0.0609,0.0663,0.045,0.183,11585000000.0,1440000000.0,17.72,0.198,0.049,284.01,2,5,6,2,0,15.8,16.26,0.954,2.668,1.149,10.17,0.529,297.95,196.11,253.99,258.51,39433300.0,2024-06-14,2024-08-30
