,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume
,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD
Date,,,,,,,,,,,,,,,,,,,,,
2021-06-15,127.96560668945312,127.87908935546875,224.9223175048828,0.0,0.0,0.0,128.9132142345344,128.34999324509604,226.31171734889924,127.71883561707591,127.22839201036187,224.26567716556696,128.26173498864796,128.29862563856358,226.04525670700522,0.0,0.0,0.0,62746300,2628912,1948300
2021-06-16,128.468994140625,126.56912231445312,224.1895751953125,0.0,0.0,0.0,129.199441822712,128.2215492465881,225.8073763274012,126.8008346043744,126.04685089222006,222.47660331150524,128.68615385525334,128.2215492465881,225.7407684180126,0.0,0.0,0.0,91815000,4057329,2951700
2021-06-17,130.0878448486328,124.65986633300781,222.57176208496094,0.0,0.0,0.0,130.83803862290074,126.76606127184293,224.8462035268558,127.9754848610855,124.38587842345443,222.00076664741545,128.12355655629167,126.3294161010719,223.71373843903476,0.0,0.0,0.0,96721700,4568300,1895600
2021-06-18,128.7750244140625,122.53650665283203,218.51771545410156,0.0,0.0,0.0,129.81145087976532,123.87214615620017,221.62961284256133,128.5578646631106,122.46801652401189,217.75640760361807,129.02179548907958,123.7009071689206,220.2782725306317,0.0,0.0,0.0,108953300,9577699,4408200
2021-06-21,130.59124755859375,125.558837890625,221.6391143798828,0.0,0.0,0.0,130.6998274271248,125.9184384541623,221.95316038888015,127.54116088128086,123.34133980030049,218.37496427721027,128.61707908472752,123.38413930495558,219.47888094137994,0.0,0.0,0.0,79663300,4482633,2193000
2021-06-22,132.24952697753906,125.31057739257812,222.57176208496094,0.0,0.0,0.0,132.34824141481747,125.69585499685658,223.50437441333588,129.92000783782808,124.44582772682142,221.19185886439553,130.42343038155613,125.44755769708573,222.20061940686153,0.0,0.0,0.0,74783600,2549102,1758300
2021-06-23,131.9731903076172,123.81219482421875,221.9627227783203,0.0,0.0,0.0,132.58519291950302,125.43037640244835,223.11421048018246,131.50925940290162,123.7779497641336,221.44882394393733,132.0422934499727,125.37044071468559,222.01981942191438,0.0,0.0,0.0,60214200,3349920,1701500
2021-06-24,131.68690490722656,124.52286529541016,222.04833984375,0.0,0.0,0.0,132.90101423907973,125.16500819443755,223.7898598596412,131.2130936533785,123.88073606161439,221.48687022426506,132.71346583381188,124.8310845945858,222.78111389351128,0.0,0.0,0.0,68711000,3775746,1839800
2021-06-25,131.3907928466797,125.72150421142578,221.1823272705078,0.0,0.0,0.0,132.16071740201988,125.79854877470822,222.12446529956605,131.09466454192318,124.1033224083653,221.10619358443094,131.73627837918085,124.47147735327353,221.48686201481522,0.0,0.0,0.0,70783700,3759533,3000100
2021-06-28,133.0392303466797,124.3944320678711,219.91664123535156,0.0,0.0,0.0,133.50316120608514,126.1153492445207,221.49638261574302,131.62770692547195,124.06909025278007,218.88885821151916,131.6869295778706,125.86706566595934,221.4202489264573,0.0,0.0,0.0,62111300,4067789,2901700
2021-06-29,134.5691680908203,124.61702728271484,219.2314453125,0.0,0.0,0.0,134.72710515098572,125.63587946817783,220.50666641464989,132.61474592182114,124.23174980052723,218.92692508643066,133.0589307245427,124.36873006162705,220.3353619891604,0.0,0.0,0.0,64556100,2540211,1932100
2021-06-30,135.19105529785156,125.50746154785156,219.82147216796875,0.0,0.0,0.0,135.63524016446573,125.79855828625759,221.0205450318569,134.11512209970357,123.8978477219147,219.45032953002604,134.41125036468273,124.25743459518557,219.75484974835604,0.0,0.0,0.0,63261400,3394375,2450700
2021-07-01,135.49703979492188,125.72150421142578,221.0395965576172,0.0,0.0,0.0,135.55626243156024,126.28657511179695,221.1633010976882,134.00653315155128,125.49032952589026,219.5930854930352,134.83569524961305,125.8242394059553,220.221177543303,0.0,0.0,0.0,52485800,2809661,2210500
2021-07-02,138.1522979736328,119.88237762451172,222.3338165283203,0.0,0.0,0.0,138.19177471068429,125.81571218575475,222.79060409751364,135.97083547426257,119.4029192825437,221.2013516096615,136.11889206534076,125.78145344827216,221.81040654225762,0.0,0.0,0.0,78852600,17584515,1851500
2021-07-06,140.1857147216797,118.82068634033203,221.4963836669922,0.0,0.0,0.0,141.3011097245407,120.22481599006758,222.59077459850843,138.26090337348404,117.38229796052906,219.83099732363135,138.26090337348404,119.85666104521468,222.3623880505838,0.0,0.0,0.0,108181800,8466010,1762700
2021-07-07,142.7027587890625,119.71112823486328,223.2854766845703,0.0,0.0,0.0,143.01861787610687,120.14778703133393,223.62807100846865,140.81742450067887,118.80357923786741,220.51617377647696,141.6860482863322,118.80357923786741,220.70650072952807,0.0,0.0,0.0,104911600,4246446,2069400
2021-07-08,141.3899383544922,120.49881744384766,221.58204650878906,0.0,0.0,0.0,142.19933952131782,120.98683017073152,222.52418465807807,138.85312487217755,117.86178317083893,220.72556784290285,139.75137505895339,117.96451837695209,221.68672852537674,0.0,0.0,0.0,105575500,5739820,1932600
2021-07-09,143.23580932617188,121.16663360595703,224.2847137451172,0.0,0.0,0.0,143.76882824316314,121.56047921457939,224.80812379627136,140.80757522013846,120.58442645994006,221.7913970736406,140.906289678924,121.10669790492592,222.75257221876464,0.0,0.0,0.0,99890800,4083689,2560500
2021-07-12,142.6336669921875,120.65291595458984,224.21810913085938,0.0,0.0,0.0,144.4301674669692,121.54334237010485,224.81765288197985,142.1401248918685,119.9679736092114,223.16177774703698,144.32158760243064,121.08957472809148,223.2474227054779,0.0,0.0,0.0,76299700,3496360,2158600
2021-07-13,143.7589569091797,120.10497283935547,224.7510223388672,0.0,0.0,0.0,145.55545756554642,120.65292127372304,225.98816938206278,141.77492288757247,119.54845630512386,223.8279213196301,142.16975058305187,120.65292127372304,224.26568640421308,0.0,0.0,0.0,100827100,3309858,1884600
2021-07-14,147.22360229492188,119.71112823486328,225.66461181640625,0.0,0.0,0.0,147.63819091291543,120.50737392406502,227.49177680000827,145.77258731707312,118.94912761494724,225.19829841394406,146.1871759350667,120.48169695471633,225.56944107434734,0.0,0.0,0.0,127050800,4606061,1993200
2021-07-15,146.56227111816406,120.25052642822266,225.4267120361328,0.0,0.0,0.0,148.06264345579518,120.25909452845814,225.91204799722158,145.19022455794214,118.83782844697214,223.56147284342674,147.31246481783512,119.28304169365803,225.1507255814024,0.0,0.0,0.0,106820300,3807126,2165800
2021-07-16,144.49928283691406,118.92344665527344,223.39967346191406,0.0,0.0,0.0,147.82575240196502,120.72143592612721,226.3783404214647,143.99587522166837,118.65804051410176,223.04756786718696,146.54255474800007,120.72143592612721,226.29268094838258,0.0,0.0,0.0,93251400,4298328,1680900
2021-07-19,140.61013793945312,118.08439636230469,218.1751251220703,0.0,0.0,0.0,142.20922454745195,118.57240911638061,222.03883368725258,139.84021348666855,116.6203171043819,215.47244444854778,141.89335038133046,116.8258011932887,221.26798551479612,0.0,0.0,0.0,121434600,8977086,3774900
2021-07-20,144.26235961914062,119.83955383300781,222.94290161132812,0.0,0.0,0.0,145.20010172230067,124.0776476204823,224.13246332188348,141.11357345877227,118.75221139186296,219.07920749880702,141.60711559234676,122.43378864150125,219.49792102326825,0.0,0.0,0.0,96350000,14237838,3275600
2021-07-21,143.5220184326172,120.97827911376953,224.52264404296875,0.0,0.0,0.0,144.24260065155724,121.05533735312125,226.59724736047488,142.76197453954933,119.56558116627146,223.84698107645002,143.650344182071,119.83955538878656,224.5702294188828,0.0,0.0,0.0,74993500,5024984,2146600
2021-07-22,144.9039764404297,120.47311401367188,227.13015747070312,0.0,0.0,0.0,146.2858884184655,121.41490796393366,228.1008439114046,143.92675757343304,120.21626236043952,223.78987334963557,144.05508335057598,121.28648213731748,224.25617225585134,0.0,0.0,0.0,77338200,3466653,2538300
2021-07-23,146.64122009277344,121.01250457763672,231.2127227783203,0.0,0.0,0.0,146.799157172853,121.32072381987626,233.20166635144722,145.02240267623037,120.14776888049997,228.01518051544443,145.6442705154755,120.68716280334101,228.5195534881318,0.0,0.0,0.0,71447400,4680013,3996400
2021-07-26,147.065673828125,122.23686981201172,232.18341064453125,0.0,0.0,0.0,147.89482090437443,122.43379947527549,232.74489481223284,145.79232683229796,120.83273985852614,229.91849500439224,146.3549720308515,121.05534649335836,230.29914894630988,0.0,0.0,0.0,72434100,4441630,2638400
2021-07-27,144.87435913085938,122.21973419189453,234.4388427734375,0.0,0.0,0.0,147.28284710310365,122.98173479610976,235.1049944699058,143.67011514473722,121.23512697667782,232.25955744804082,147.19399807398523,122.03137264947314,232.36423946613,0.0,0.0,0.0,104818600,3281302,3135200
2021-07-28,143.1074676513672,121.38066864013672,230.0897674560547,0.0,0.0,0.0,145.0717706940726,122.51939226623954,232.01210311515544,140.69897971687297,121.26936534078945,227.77726661846143,142.93966513943408,122.44233403357912,230.77495611630812,0.0,0.0,0.0,118931200,2660815,4948500
2021-07-29,143.7589569091797,121.5176773071289,232.22146606445312,0.0,0.0,0.0,144.65720723736305,122.39953570955282,233.3444052674591,142.71264996061933,121.23513497485679,231.23174266148303,142.82122983613283,121.86014168075396,231.55531445919397,0.0,0.0,0.0,56699500,2793761,2572300
2021-07-30,143.97610473632812,120.68719482421875,230.9748077392578,0.0,0.0,0.0,144.44003552403547,121.44919553119364,233.54425794224028,142.2487073536718,120.54163276527723,230.498983089779,142.51522430998895,121.16665317945925,232.0596873592289,0.0,0.0,0.0,70440600,3698238,2336800
2021-08-02,143.6405029296875,121.08101654052734,228.49099731445312,0.0,0.0,0.0,145.05202616432405,122.4851600789449,232.8495382264954,143.37398596740897,120.74710660737472,228.10081762567145,144.4696500770982,121.10670717585892,232.43082474208828,0.0,0.0,0.0,62880000,3064257,2693900
2021-08-03,145.45672607421875,123.34988403320312,225.49330139160156,0.0,0.0,0.0,146.12793609026053,123.88927800128158,228.34824932528974,143.30487471927148,121.2779344935803,223.8755004667148,143.92674257544087,121.49197299484734,227.97710667475093,0.0,0.0,0.0,64786600,4272596,3300000
2021-08-04,145.05201721191406,122.22830200195312,223.475830078125,0.0,0.0,0.0,145.88116430815094,123.44407025981936,225.16025358000195,144.3906726188411,121.98000475748961,221.78189530982567,145.36789137907627,123.11872844384868,225.01749745756163,0.0,0.0,0.0,56368300,2960285,2240600
2021-08-05,145.16061401367188,122.23686981201172,224.9889373779297,0.0,0.0,0.0,145.9305385588395,122.7848319636469,225.36008004324827,144.2821095935852,121.76596590554651,223.00950498922487,145.0816454626661,122.45947644684392,224.34182279061176,0.0,0.0,0.0,46397700,2884240,2230500
2021-08-06,144.46861267089844,123.36699676513672,224.836669921875,0.22,0.0,0.0,145.42752009685526,123.6238484123423,225.67412599555163,143.96445091381563,122.33959017631437,224.27520029112213,144.67621756162433,122.43377093565365,225.23636090585248,0.0,0.0,0.0,54126800,4002833,1558600
