,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM
Date,,,,,,,,,,,,,,
2021-03-16,123.73799133300781,108.58332824707031,0.0,0.0,125.36392009787879,108.82041519384555,122.90039394446374,107.82128091910064,123.86609198647474,108.61720167210477,0.0,0.0,115227900,4867247
2021-03-17,122.9397964477539,109.25225067138672,0.0,0.0,124.02374632099628,109.64173765385708,120.5550977049195,107.94829601337912,122.24015600667849,108.76961683071902,0.0,0.0,111932600,4488804
2021-03-18,118.77152252197266,110.1243667602539,0.0,0.0,121.38286176615965,110.92028078336118,118.56458722583356,108.20231166207972,121.08723561848367,109.17603921207038,0.0,0.0,121229700,6104142
2021-03-19,118.23939514160156,109.14217376708984,0.0,0.0,119.65838856360008,110.44612162654798,117.93392031473213,108.82888680327132,118.15071181176913,110.09049456879262,0.0,0.0,185549500,10297870
2021-03-22,121.58979797363281,110.53925323486328,0.0,0.0,122.06279830984253,110.68320009202859,118.505465891749,108.28698460900638,118.57444432431237,108.80347833858181,0.0,0.0,111912300,4356485
2021-03-23,120.75218963623047,110.46305084228516,0.0,0.0,122.42738428566302,111.39443827452997,120.35802397810379,109.90421703151495,121.53066474355735,110.44611750818856,0.0,0.0,95467100,4556794
2021-03-24,118.33795166015625,110.5985336303711,0.0,0.0,121.10696047222518,111.86014821271603,118.31824675672782,110.55620029154763,121.02812582233948,110.87795393795737,0.0,0.0,88530500,4189230
2021-03-25,118.83064270019531,112.67298889160156,0.0,0.0,119.8850391003292,112.81693574924229,117.26384369148572,109.87881301101378,117.79596623729797,110.35298016311548,0.0,0.0,98844700,5809484
2021-03-26,119.44160461425781,115.47564697265625,0.0,0.0,119.70766965673806,115.56031365168337,117.18501368954307,112.71533755132333,118.59415099124406,112.85927766278671,0.0,0.0,94071200,5823710
2021-03-29,119.61898040771484,115.03534698486328,0.0,0.0,120.79162131256227,116.05987455967559,118.9686133848675,114.73899335296213,119.87518924366586,115.1369469941949,0.0,0.0,80819200,4835344
