,Capital Gains,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,,,,
2021-07-13,0.0,143.7589111328125,421.0975341796875,0.0,0.0,145.5554112171295,423.27267470143937,141.77487774297023,420.82685120595875,142.16970531272682,421.7259022077473,0.0,0.0,100827100,52911300
2021-07-14,0.0,147.22361755371094,421.7259216308594,0.0,0.0,147.63820621467397,423.35004905026454,145.77260242547374,420.4401848219895,146.18719108643677,422.84733100287826,0.0,0.0,127050800,64130400
2021-07-15,0.0,146.56224060058594,420.2855529785156,0.0,0.0,148.0626126258056,421.03960063413234,145.1901943260551,418.3230937272161,147.3124341440497,420.34355437492957,0.0,0.0,106820300,55126400
2021-07-16,0.0,144.499267578125,416.9889831542969,0.0,0.0,147.8257367919085,421.55194630684036,143.995860016038,416.5829733983385,146.54253927344624,421.5036216461617,0.0,0.0,93251400,75874700
2021-07-19,0.0,140.61013793945312,410.8309326171875,0.0,0.0,142.20922454745195,417.05667137865333,139.84021348666855,407.93074485261286,141.89335038133046,412.010343488204,0.0,0.0,121434600,147987000
2021-07-20,0.0,144.26234436035156,416.71832275390625,0.0,0.0,145.20008636432559,418.03308992116104,141.1135585330338,410.69558869445973,141.6071006144058,411.51731448621445,0.0,0.0,96350000,99608200
2021-07-21,0.0,143.52203369140625,420.0921630859375,0.0,0.0,144.24261598695622,420.23719606807913,142.761989717533,416.669962951181,143.65035945450322,417.95569980934084,0.0,0.0,74993500,64724400
2021-07-22,0.0,144.9039764404297,420.97186279296875,0.0,0.0,146.2858884184655,421.22322180993325,143.92675757343304,419.2607628369917,144.05508335057598,420.2758166324941,0.0,0.0,77338200,47878500
2021-07-23,0.0,146.64122009277344,425.3028259277344,0.0,0.0,146.799157172853,425.65083426174016,145.02240267623037,422.25763499625424,145.6442705154755,422.96332839651006,0.0,0.0,71447400,63766600
2021-07-26,0.0,147.06568908691406,426.346923828125,0.0,0.0,147.89483624919157,426.35660056135424,145.79234195897098,424.6455004071951,146.35498721590176,424.69382506887047,0.0,0.0,72434100,43719200
2021-07-27,0.0,144.87435913085938,424.4037780761719,0.0,0.0,147.28284710310365,425.3028291146561,143.67011514473722,421.48423713082855,147.19399807398523,425.2738284199383,0.0,0.0,104818600,67397100
2021-07-28,0.0,143.1074676513672,424.2297668457031,0.0,0.0,145.0717706940726,425.6508599665103,140.69897971687297,422.7603490652209,142.93966513943408,425.0514925758167,0.0,0.0,118931200,52472400
2021-07-29,0.0,143.7589111328125,425.9892272949219,0.0,0.0,144.657161174971,427.1009600037446,142.71260451742185,425.17717828581044,142.82118435836088,425.1868550187801,0.0,0.0,56699500,47435300
2021-07-30,0.0,143.97610473632812,423.9204406738281,0.0,0.0,144.44003552403547,425.4188591673662,142.2487073536718,423.2050409878702,142.51522430998895,423.3403972400527,0.0,0.0,70440600,68951200
2021-08-02,0.0,143.64048767089844,423.0310363769531,0.0,0.0,145.05201075559026,426.2599084355869,143.37397073693174,422.66367455252885,144.46963473022964,425.68954173533047,0.0,0.0,62880000,58783300
2021-08-03,0.0,145.45672607421875,426.47259521484375,0.0,0.0,146.12793609026053,426.59827473548467,143.30487471927148,421.5906243893471,143.92674257544087,423.85276725417873,0.0,0.0,64786600,58053900
2021-08-04,0.0,145.052001953125,424.3747863769531,0.0,0.0,145.88114896213952,426.44357148255057,144.39065742962237,424.1331040817711,145.36787608705873,425.1481579206425,0.0,0.0,56368300,46732200
2021-08-05,0.0,145.1605987548828,427.0622863769531,0.0,0.0,145.93052321911858,427.14928846174007,144.28209442714154,425.24483082211526,145.08163021217794,425.57351519872145,0.0,0.0,46397700,38969700
2021-08-06,0.0,144.46861267089844,427.7679443359375,0.22,0.0,145.42752009685526,428.20298422605094,143.96445091381563,427.1008989056199,144.67621756162433,427.39093533310563,0.0,0.0,54126800,46930000
2021-08-09,0.0,144.41920471191406,427.41998291015625,0.0,0.0,145.0222289108948,428.0676749483498,143.8557314909889,426.62725789119565,144.52794727514922,427.73899056292964,0.0,0.0,48908700,41222600
2021-08-10,0.0,143.934814453125,427.95166015625,0.0,0.0,146.02068350268405,428.68638376317926,143.63824246287774,427.17828862428547,144.7652039583949,427.88398203408906,0.0,0.0,69023100,43339300
2021-08-11,0.0,144.1918182373047,429.0151062011719,0.0,0.0,145.0419831294813,429.1117850268029,143.86559059544055,427.89369672877,144.37964764482732,429.0537836318714,0.0,0.0,48493500,44034300
2021-08-12,0.0,147.18714904785156,430.30084228515625,0.0,0.0,147.34532275300054,430.44587527443736,144.17202878715062,427.93237332411456,144.51803188162972,428.86042514344274,0.0,0.0,72282600,38909400
